County,State,StateCode,LBW,LBWind,InfantMort,InfantMortInd
20,109,Logan,Kansas,KS,82,4.5,3,2.5,8.6,2.2,6.7,1.5,4,0.2,1.6,0.2,2.8,8.3,3,7.9,13.1,5.4,11.3,1.5,3,1.6,5.3,0.2,2.8,2.7,4,1.2,3.9,0.9,4.4,16.6,3,12.5,26.9,12.6,20.6,12.2,3,11.5,25,8.7,15.7,-1111.1,-1,0,11.3,-1111.1,-1111.1,-1111.1,-1,0,11.3,-1111.1,-1111.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,10.6,-1111.1,-1111.1,-1111.1,-1,0,9,-1111.1,-1111.1,-1111.1,-1,0,4,-1111.1,-1111.1,-1111.1,-1,10.7,44.3,-1111.1,-1111.1,31.4,4,12.6,30.4,16.4,54.5,195.2,4,111.6,205.8,157.4,239.3,-1111.1,-1,0,10.1,-1111.1,-1111.1,38,3,24.4,56.8,21.7,61.7,42.7,4,20.1,54.1,22.6,73.2,46.1,3,26.6,69,29.4,68.9,-1111.1,-1,6.1,26.4,-1111.1,-1111.1,-1111.1,-1,10.8,35.7,-1111.1,-1111.1,337,389,1994-2003
20,111,Lyon,Kansas,KS,29,6.6,3,6,8.1,5.7,7.6,1,3,0.8,1.5,0.6,1.3,10.8,3,8.9,13.1,9.6,12,4.6,4,2.2,5.9,3.8,5.3,1.2,3,1,2.6,0.8,1.6,36.3,4,25.9,39.8,34.5,38.2,20.8,4,11.3,26,19.2,22.3,3.7,3,3.7,9,1.8,6.9,3.9,3,3.5,9.1,1.6,8.1,-1111.1,-1,0,76.9,-1111.1,-1111.1,2.7,4,0,14.1,0.3,9.7,2.6,3,2.2,6.1,1,5.4,1.1,3,0.7,4.2,0.2,3.3,22.7,3,17.3,31,14,34.9,17.3,3,16.1,29.2,11.7,24.7,136.2,3,158.5,240.8,118.9,153.5,6.1,4,0.7,6.7,3,11,52.3,3,44.7,73.8,41.7,64.9,21.5,3,15.8,31.6,15.2,29.6,47.8,3,49.1,82.4,38.2,59.1,14.5,4,6.7,14.5,9.4,21.4,17.7,3,16.4,27.9,12.1,25.1,2681,1459,1999-2003
20,113,McPherson,Kansas,KS,27,6.9,4,4.9,7.2,5.7,8.1,1.3,4,0.7,1.3,0.7,1.8,10.5,4,8.9,12.7,9,11.9,2.8,4,1.8,3.7,2.1,3.6,1.9,4,1.4,2.2,1.2,2.5,22.1,3,22.9,33.9,20.2,24.1,10.1,3,10.1,19,8.7,11.5,5.2,4,4,8.9,2.4,9.9,4.9,3,2.9,9.1,2.1,9.7,-1111.1,-1,0,19.1,-1111.1,-1111.1,-1111.1,-1,0,19.6,-1111.1,-1111.1,2.9,3,2.5,5.4,0.9,6.8,2.3,4,1,3.6,0.6,5.9,28.2,4,17.9,29.9,18.2,41.6,14.1,3,14.4,26.1,9.3,20.4,150.6,3,123.6,230.3,134.2,167,-1111.1,-1,0.6,3.1,-1111.1,-1111.1,37.9,3,37.3,61.3,29.4,48,18.8,3,14.7,35.1,12.8,26.7,80.9,4,45.6,77.3,69.5,92.3,10.4,4,6.2,15.5,5.8,17.3,16.7,3,16,26.5,11.4,23.7,1725,1721,1999-2003
20,115,Marion,Kansas,KS,54,5.1,3,5.1,7.2,4,6.3,1,3,0.6,1.7,0.5,1.5,9.9,4,8.3,11.4,8.4,11.5,3,4,1.6,4.3,2.1,3.9,2.2,4,1.1,2.7,1.4,2.9,16.4,3,16.6,28,14.5,18.4,13.6,3,9.7,18.7,11.8,15.4,5.6,3,1.7,10.9,2.3,11.6,4.2,3,1.7,10.8,1.4,9.9,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,20.8,-1111.1,-1111.1,2.4,3,0,8,0.5,7.1,3.2,4,0,3.3,0.9,8.3,28,4,18.2,34.7,17.8,41.8,16.6,3,15.2,28,11.6,23,135.7,3,124.8,232.5,120.6,150.8,-1111.1,-1,0,3.8,-1111.1,-1111.1,43.7,3,36.2,59.3,34.8,54.1,37.5,4,17.2,33.8,27.5,49.8,57.3,3,47.7,75.6,47.5,67,8.2,3,5.7,20,4,15,27.2,4,15.3,30.1,19.8,36.4,1389,1849,1994-2003
20,117,Marshall,Kansas,KS,58,6,4,4,7.1,4.6,7.4,1.1,4,0.6,1.5,0.5,1.7,10.3,4,7.9,12,8.5,12.1,3.4,4,1.8,4.2,2.3,4.5,1.3,3,0.9,2.8,0.6,2,21,3,15.2,31.5,18.6,23.4,12.2,3,10.4,19.9,10.3,14.2,5.1,3,1.6,9.7,1.7,11.9,5.2,3,0,10.2,1.7,12.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,9,-1111.1,-1111.1,3.1,3,0,8.4,0.6,8.9,2,3,0,4.5,0.2,7.3,28.2,4,15,37.5,17.7,42.8,25.3,4,17.3,29.8,18.5,33.8,177.3,3,137.8,234.1,158.6,195.9,-1111.1,-1,0,4.7,-1111.1,-1111.1,42.6,3,31,61.3,33.1,53.9,31.8,4,17,41.4,21.8,44.9,58.9,4,39.6,74.7,48.6,69.2,-1111.1,-1,5.6,17.1,-1111.1,-1111.1,15.1,3,14.7,31.7,9.8,22.3,1090,1577,1994-2003
20,119,Meade,Kansas,KS,79,6.4,4,2.8,8.9,4.6,8.3,1.2,4,0,1.9,0.4,2,8,3,7.2,11.6,5.9,10.1,3,4,1.1,5.6,1.7,4.3,1.9,3,1,4.1,0.9,3,17.2,3,10.5,27,14.3,20,23.7,4,14.1,23.6,20.4,26.9,8.4,4,0,13.9,2.7,19.6,-1111.1,-1,0,13.9,-1111.1,-1111.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,15.2,-1111.1,-1111.1,3.4,3,0,10.4,0.4,12.2,5.1,4,0,5.1,1,14.8,34.9,4,7.1,41.1,16.3,65.3,-1111.1,-1,11.3,32.3,-1111.1,-1111.1,177.8,4,110.1,193.2,145.2,210.4,-1111.1,-1,0,6.4,-1111.1,-1111.1,35,3,28.5,61.7,21.3,54.3,44.2,4,15.3,61.8,26.6,68.9,39.5,3,36.1,74.2,25.9,57.7,-1111.1,-1,1.9,22.4,-1111.1,-1111.1,17.7,3,12.9,31.4,8.1,33.6,669,510,1994-2003
20,121,Miami,Kansas,KS,47,7.7,4,5,7.8,6.5,8.9,0.9,3,0.8,1.4,0.5,1.4,10.5,3,9,12.9,9.1,11.8,2.4,3,1.4,4.1,1.7,3.1,2.5,4,1.1,3.3,1.8,3.2,26.4,3,17.6,32.2,24.4,28.3,7.8,3,7.8,20.4,6.6,9,6.7,4,2.7,7.9,3.6,11.4,7.1,4,2.8,7.9,3.8,12.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,9.8,-1111.1,-1111.1,4.1,4,1.4,5.6,1.8,8.1,2.6,4,0.6,3.1,0.8,6,31.6,4,19.5,31.9,20.2,47.2,17.3,3,14.5,27,10.9,26,213.5,4,111.5,213.4,189.2,237.8,-1111.1,-1,0.7,3.8,-1111.1,-1111.1,43,3,28.6,68.4,32.7,55.5,33.4,4,13.7,28,24.5,44.5,43.5,3,43.5,79.3,33,56.2,16.3,4,7.1,17.8,10.4,24.2,17.9,3,14.4,30.2,11.6,26.2,1942,1259,1999-2003
20,123,Mitchell,Kansas,KS,54,5.8,3,5.1,7.2,4.1,7.6,0.6,3,0.6,1.7,-2222.2,-2222.2,9.4,3,8.3,11.4,7.2,11.6,3.1,4,1.6,4.3,1.8,4.5,2.4,4,1.1,2.7,1.2,3.5,20.6,3,16.6,28,17.6,23.7,14.2,3,9.7,18.7,11.6,16.8,3.3,3,1.7,10.9,0.4,12.1,3.4,3,1.7,10.8,0.4,12.3,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,20.8,-1111.1,-1111.1,3.3,3,0,8,0.4,12.1,0,3,0,3.3,0,0,27.1,4,18.2,34.7,14.1,47.2,17.6,3,15.2,28,10.5,27.8,165.4,3,124.8,232.5,142.5,188.3,-1111.1,-1,0,3.8,-1111.1,-1111.1,39.9,3,36.2,59.3,28.3,54.7,21.1,3,17.2,33.8,11.5,35.4,75.6,4,47.7,75.6,61.4,92,-1111.1,-1,5.7,20,-1111.1,-1111.1,16.9,3,15.3,30.1,9.4,28.1,669,1051,1994-2003
20,125,Montgomery,Kansas,KS,50,8.1,3,7.2,10.7,7,9.2,1.6,4,1,2,1.1,2.1,13.4,4,11.2,17.3,12,14.7,5,3,2.9,7.3,4.1,5.9,1.4,4,0.8,1.8,0.9,1.8,39.7,4,26.9,46.5,37.7,41.7,14.9,3,11.2,20.8,13.5,16.4,12.2,4,4.6,12,8.2,17.6,9,4,3.5,11.3,5.4,14.3,41.2,4,0,41.2,17.8,81.3,-1111.1,-1,0,30.8,-1111.1,-1111.1,7.6,4,1.7,8.4,4.5,12,4.6,4,1.5,4.6,2.3,8.3,21.6,3,17.4,31.1,14,31.9,25.4,4,15.8,28.4,19.6,32.4,171.4,3,156.9,268.1,155.5,187.4,-1111.1,-1,1.6,7.5,-1111.1,-1111.1,68.3,4,55.4,78.7,57.7,79,35.2,4,11.4,32.9,26.9,45.2,58.7,3,51.9,97.6,49.7,67.8,18.3,4,10.4,19.4,12.4,26,36.4,4,16.8,33.4,28.3,46.1,2370,2423,1999-2003
20,127,Morris,Kansas,KS,58,5.2,3,4,7.1,3.5,6.9,1.8,4,0.6,1.5,0.8,2.8,10.9,4,7.9,12,8.5,13.3,2.4,3,1.8,4.2,1.2,3.5,1.5,3,0.9,2.8,0.6,2.4,20.5,3,15.2,31.5,17.4,23.5,13.4,3,10.4,19.9,10.8,15.9,5.1,3,1.6,9.7,1.1,14.9,5.3,3,0,10.2,1.1,15.6,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,9,-1111.1,-1111.1,5.1,4,0,8.4,1.1,14.9,0,3,0,4.5,0,0,-1111.1,-1,15,37.5,-1111.1,-1111.1,18.3,3,17.3,29.8,10.6,29.4,157.6,3,137.8,234.1,132.6,182.5,-1111.1,-1,0,4.7,-1111.1,-1111.1,52.6,4,31,61.3,38.7,70,34.9,4,17,41.4,21.5,53.5,52,3,39.6,74.7,39.6,67.2,-1111.1,-1,5.6,17.1,-1111.1,-1111.1,14.8,3,14.7,31.7,7.9,25.3,669,798,1994-2003
20,129,Morton,Kansas,KS,80,5.4,3,4.2,9.1,3.6,7.3,1.1,4,0.3,1.5,0.2,1.9,10.1,3,9,13.8,7.6,12.6,5.1,4,2.5,7.2,3.3,6.9,2.3,4,1.3,3.8,1.1,3.5,23.2,3,14.4,40.4,19.7,26.7,32.5,4,16.2,32.6,28.6,36.5,3.9,3,0,9.5,0.5,14,-1111.1,-1,0,8.8,-1111.1,-1111.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,12.9,-1111.1,-1111.1,3.9,4,0,5.7,0.5,14,0,3,0,4.2,0,0,-1111.1,-1,7.2,33.2,-1111.1,-1111.1,-1111.1,-1,6.7,27.9,-1111.1,-1111.1,287.7,4,102.4,229.5,232.8,342.6,-1111.1,-1,0,7.3,-1111.1,-1111.1,34.5,3,18.3,62,18.4,59,-1111.1,-1,14.9,58.9,-1111.1,-1111.1,48.6,3,26.2,75.8,28.8,76.8,-1111.1,-1,7.2,35,-1111.1,-1111.1,-1111.1,-1,17.3,45.3,-1111.1,-1111.1,569,320,1994-2003
20,131,Nemaha,Kansas,KS,56,5.6,4,4.5,7.5,4.4,6.8,1.1,4,0.5,2,0.6,1.7,8.9,3,8.1,11.6,7.4,10.3,1.8,3,1.6,4.2,1.1,2.5,2.3,4,0.9,2.7,1.5,3,12.9,3,14.2,25.9,11.1,14.6,9.9,3,9.9,17.8,8.3,11.4,5.6,3,3.1,9.8,2.2,11.4,5.7,3,3.1,9.5,2.3,11.8,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,38.5,-1111.1,-1111.1,4,3,1.4,7.9,1.3,9.3,1.6,3,0,4.4,0.2,5.7,23.1,3,17.1,31.7,13.6,36.8,14.2,3,14.2,26.5,8.9,21.5,148.2,3,125.8,235.2,130.3,166.2,-1111.1,-1,0,2.9,-1111.1,-1111.1,40.1,3,32.6,55.5,30.6,51.6,25.3,4,15.6,33,16.4,37.2,61.5,4,46.6,69.4,51.1,71.9,12.3,4,5.8,15.7,6.4,21.3,17.4,3,12,28.8,11.1,26,1413,1513,1994-2003
20,133,Neosho,Kansas,KS,63,8.3,4,6,9.3,7.1,9.5,1.3,4,0.9,2,0.8,1.8,13.1,4,9.6,14,11.7,14.6,4,3,4,6.9,3.1,4.9,1.3,4,0.7,2.2,0.8,1.7,32.4,4,22.5,39.9,30.3,34.4,12.8,3,11,22.4,11.3,14.3,5.6,3,4.3,11.1,2.7,10.2,5.3,3,3.5,10.3,2.4,10.1,-1111.1,-1,0,28.6,-1111.1,-1111.1,-1111.1,-1,0,7.6,-1111.1,-1111.1,2.8,3,2.1,9.5,0.9,6.5,2.8,3,1.1,4.5,0.9,6.5,14.7,3,19.2,34.2,8.6,23.5,20.7,3,16.6,28.2,15.2,27.5,177.2,3,168.5,282.9,160.3,194.1,-1111.1,-1,2,8.4,-1111.1,-1111.1,64.3,3,52.4,82.3,53.5,75,30.1,3,22,39.2,22.4,39.7,64.8,3,52.7,86,54.8,74.7,13.5,4,9.8,17.3,8.6,20.3,26.6,3,18,31.9,19.8,35,1995,2088,1994-2003
20,135,Ness,Kansas,KS,79,6.2,4,2.8,8.9,3.6,8.7,-1111.1,-1,0,1.9,-1111.1,-1111.1,10,4,7.2,11.6,6.8,13.2,4.7,4,1.1,5.6,2.5,7,1.8,3,1,4.1,0.4,3.2,21.8,4,10.5,27,17.4,26.2,15.3,3,14.1,23.6,11.5,19.2,-1111.1,-1,0,13.9,-1111.1,-1111.1,-1111.1,-1,0,13.9,-1111.1,-1111.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,15.2,-1111.1,-1111.1,-1111.1,-1,0,10.4,-1111.1,-1111.1,-1111.1,-1,0,5.1,-1111.1,-1111.1,41.1,4,7.1,41.1,19.4,76.6,-1111.1,-1,11.3,32.3,-1111.1,-1111.1,151.8,4,110.1,193.2,122.7,185.7,-1111.1,-1,0,6.4,-1111.1,-1111.1,47.5,4,28.5,61.7,31.2,69.2,36.4,3,15.3,61.8,18,65.6,40.4,3,36.1,74.2,27.3,57.8,-1111.1,-1,1.9,22.4,-1111.1,-1111.1,20.3,3,12.9,31.4,8.5,40.6,340,501,1994-2003
20,137,Norton,Kansas,KS,58,5.5,3,4,7.1,3.6,7.4,0.9,3,0.6,1.5,0.1,1.7,8.6,3,7.9,12,6.2,10.9,2,3,1.8,4.2,0.8,3.2,1.8,4,0.9,2.8,0.7,2.9,20.6,3,15.2,31.5,17.2,24,10.4,3,10.4,19.9,7.9,13,-1111.1,-1,1.6,9.7,-1111.1,-1111.1,-1111.1,-1,0,10.2,-1111.1,-1111.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,9,-1111.1,-1111.1,-1111.1,-1,0,8.4,-1111.1,-1111.1,-1111.1,-1,0,4.5,-1111.1,-1111.1,31.4,4,15,37.5,14.4,59.3,23,4,17.3,29.8,13.9,35.8,137.8,3,137.8,234.1,114.7,161,-1111.1,-1,0,4.7,-1111.1,-1111.1,58.7,4,31,61.3,42.7,78.7,31.4,4,17,41.4,18.4,49.9,52.5,3,39.6,74.7,39.2,69,-1111.1,-1,5.6,17.1,-1111.1,-1111.1,23.3,4,14.7,31.7,13.4,37.7,549,741,1994-2003
20,139,Osage,Kansas,KS,57,6.6,4,5,7,5.5,7.7,1,4,0.6,1.5,0.6,1.5,10.4,4,8.8,11.5,9.1,11.8,3.4,4,1.9,4.7,2.5,4.2,1.6,4,1,2.1,1.1,2.2,26.9,4,18.5,29,24.9,28.9,8.1,3,7.7,23.9,6.9,9.4,6.4,4,3.8,8.7,3.2,11.4,6.6,4,3.8,8.8,3.3,11.8,-1111.1,-1,0,24.1,-1111.1,-1111.1,-1111.1,-1,0,18.9,-1111.1,-1111.1,3.5,4,2.2,6.6,1.3,7.5,2.9,4,0.7,3.3,0.9,6.7,27.8,4,17.8,33.8,18.6,40.1,19,3,17.3,28.3,13.7,25.8,153.6,3,139.3,224.3,136.8,170.4,-1111.1,-1,0.4,3.4,-1111.1,-1111.1,54.1,4,37.5,64.8,43.9,64.4,32.2,4,16.9,28.5,23.9,42.4,64.7,4,48.8,83.2,54.1,75.3,14.5,4,6.6,14.4,9.3,21.5,23.8,4,15.4,24.3,17.2,32.1,1908,1823,1994-2003
20,141,Osborne,Kansas,KS,81,6.5,4,3.7,7.9,4.1,9,-1111.1,-1,0,1.5,-1111.1,-1111.1,12.3,4,6.3,13.9,9.1,15.6,3.5,4,1,4.8,1.7,5.3,2.3,4,1,4.5,0.8,3.7,23.9,4,12,27.7,19.7,28.1,8.8,3,10.1,27.2,6,11.6,-1111.1,-1,0,11,-1111.1,-1111.1,-1111.1,-1,0,12.2,-1111.1,-1111.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,8.3,-1111.1,-1111.1,-1111.1,-1,0,5.1,-1111.1,-1111.1,47,4,11.2,49,25.1,80.3,21.5,4,13.9,32.4,12.2,35,259.1,4,127.3,224.3,226.9,291.3,-1111.1,-1,0,7.4,-1111.1,-1111.1,67.9,4,33.3,57.5,49.6,90.7,24,3,15.5,49.8,11.3,44.9,28.2,3,34.1,78.8,19.3,39.8,-1111.1,-1,0,23.5,-1111.1,-1111.1,21,3,12.9,33.5,10.7,37.1,398,773,1994-2003
20,143,Ottawa,Kansas,KS,54,8.3,4,5.1,7.2,6.2,10.3,2,4,0.6,1.7,1,3.1,12.8,4,8.3,11.4,10.3,15.3,2.9,4,1.6,4.3,1.7,4.2,2.9,4,1.1,2.7,1.7,4.2,23.8,4,16.6,28,20.7,27,8.5,3,9.7,18.7,6.4,10.5,4.8,3,1.7,10.9,1,14,5,3,1.7,10.8,1,14.6,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,20.8,-1111.1,-1111.1,1.6,3,0,8,0,8.9,3.2,4,0,3.3,0.4,11.6,27.7,4,18.2,34.7,13.1,51.4,17.5,3,15.2,28,9.5,29.7,255.4,4,124.8,232.5,222.5,288.3,-1111.1,-1,0,3.8,-1111.1,-1111.1,41.7,3,36.2,59.3,28.6,58.7,22.5,4,17.2,33.8,11.6,39.5,84.5,4,47.7,75.6,67.2,104.8,-1111.1,-1,5.7,20,-1111.1,-1111.1,16.3,3,15.3,30.1,8.4,28.6,688,798,1994-2003
20,145,Pawnee,Kansas,KS,54,6.1,4,5.1,7.2,4.4,7.9,0.8,3,0.6,1.7,0.2,1.5,9.9,3,8.3,11.4,7.7,12.1,5,4,1.6,4.3,3.4,6.6,1.4,3,1.1,2.7,0.5,2.2,28,4,16.6,28,24.7,31.2,15.1,4,9.7,18.7,12.5,17.7,11,4,1.7,10.9,4.4,22.6,10.4,4,1.7,10.8,3.8,22.6,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,20.8,-1111.1,-1111.1,6.3,4,0,8,1.7,16,4.7,4,0,3.3,1,13.7,31.7,4,18.2,34.7,17.4,53,15.2,3,15.2,28,8.4,25.3,151.6,3,124.8,232.5,128.2,175,-1111.1,-1,0,3.8,-1111.1,-1111.1,57.6,4,36.2,59.3,43.6,74.7,30.8,4,17.2,33.8,19.3,46.7,50.5,3,47.7,75.6,38,65.7,14.8,4,5.7,20,7.3,26.7,21.9,4,15.3,30.1,13,34.5,719,865,1994-2003
20,147,Phillips,Kansas,KS,58,4.8,3,4,7.1,3.1,6.4,1.2,4,0.6,1.5,0.4,2.1,12,4,7.9,12,9.5,14.5,3.2,4,1.8,4.2,1.9,4.6,0.9,3,0.9,2.8,0.2,1.7,17.7,3,15.2,31.5,14.8,20.7,8.8,3,10.4,19.9,6.6,11,7,4,1.6,9.7,1.9,18,7.7,4,0,10.2,2.1,19.8,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,9,-1111.1,-1111.1,5.3,4,0,8.4,1.1,15.4,1.8,3,0,4.5,0,9.8,-1111.1,-1,15,37.5,-1111.1,-1111.1,24.1,4,17.3,29.8,15.6,35.7,162.9,3,137.8,234.1,138.3,187.6,-1111.1,-1,0,4.7,-1111.1,-1111.1,44.3,3,31,61.3,31.3,60.7,35.8,4,17,41.4,21.5,55.9,56.7,3,39.6,74.7,43.2,73.1,-1111.1,-1,5.6,17.1,-1111.1,-1111.1,31.1,4,14.7,31.7,18.7,48.7,648,931,1994-2003
20,149,Pottawatomie,Kansas,KS,56,5.7,4,4.5,7.5,4.8,6.5,1.3,4,0.5,2,0.8,1.7,9.5,3,8.1,11.6,8.4,10.6,2.3,3,1.6,4.2,1.8,2.9,4.1,4,0.9,2.7,3.4,4.9,15.7,3,14.2,25.9,14.3,17,12.8,3,9.9,17.8,11.5,14.1,7,4,3.1,9.8,4.1,11.2,6.2,3,3.1,9.5,3.4,10.4,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,38.5,-1111.1,-1111.1,6.2,4,1.4,7.9,3.4,10.1,0.8,3,0,4.4,0.1,3,28.1,4,17.1,31.7,18.3,41.2,23.7,4,14.2,26.5,17.4,31.6,162.8,3,125.8,235.2,145.1,180.6,-1111.1,-1,0,2.9,-1111.1,-1111.1,48.5,4,32.6,55.5,39,59.6,30.7,4,15.6,33,23,40.1,82.5,4,46.6,69.4,70.1,94.8,13.7,4,5.8,15.7,8.8,20.5,19.8,4,12,28.8,13.9,27.4,2699,1664,1994-2003
20,151,Pratt,Kansas,KS,54,6.9,4,5.1,7.2,5.4,8.4,1.3,4,0.6,1.7,0.7,2,9.9,3,8.3,11.4,8.1,11.6,3,4,1.6,4.3,2,4,1.5,3,1.1,2.7,0.8,2.2,22.1,3,16.6,28,19.7,24.6,17.6,4,9.7,18.7,15.4,19.8,10,4,1.7,10.9,4.8,18.4,10.8,4,1.7,10.8,5.2,19.9,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,20.8,-1111.1,-1111.1,8,4,0,8,3.4,15.7,2,4,0,3.3,0.2,7.2,38,4,18.2,34.7,24.5,56.4,15.6,3,15.2,28,9.4,24.4,140.6,3,124.8,232.5,121.3,159.9,-1111.1,-1,0,3.8,-1111.1,-1111.1,48,4,36.2,59.3,36.5,62.1,15.8,3,17.2,33.8,9.2,25.3,41.9,3,47.7,75.6,32.3,53.4,20,4,5.7,20,11.7,31.9,19.1,3,15.3,30.1,11.8,29.2,1116,1181,1994-2003
20,153,Rawlins,Kansas,KS,81,5.3,3,3.7,7.9,2.5,8.2,-1111.1,-1,0,1.5,-1111.1,-1111.1,6.6,3,6.3,13.9,3.5,9.7,2.9,4,1,4.8,0.8,5,-1111.1,-1,1,4.5,-1111.1,-1111.1,18.9,3,12,27.7,14,23.9,12.8,3,10.1,27.2,8.6,17,-1111.1,-1,0,11,-1111.1,-1111.1,-1111.1,-1,0,12.2,-1111.1,-1111.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,8.3,-1111.1,-1111.1,-1111.1,-1,0,5.1,-1111.1,-1111.1,35.7,4,11.2,49,16.6,67.1,21.6,4,13.9,32.4,10.8,38.7,150,3,127.3,224.3,120.5,184.6,-1111.1,-1,0,7.4,-1111.1,-1111.1,42.4,3,33.3,57.5,26.3,64.7,34,4,15.5,49.8,15.2,65.7,32.8,3,34.1,78.8,20.4,50.1,-1111.1,-1,0,23.5,-1111.1,-1111.1,28.2,4,12.9,33.5,14.4,49.7,243,413,1994-2003
20,155,Reno,Kansas,KS,21,7.3,4,5.4,9,6.5,8.1,1.3,4,0.8,1.7,1,1.7,11.8,4,9,14.3,10.8,12.7,3.5,3,2.5,5.2,2.9,4,1.5,3,1.1,3,1.2,1.9,35.5,4,26.9,38.8,34.1,37,15.2,4,8,20.9,14.1,16.2,6.2,3,4.8,8.4,4,9,5.6,3,4.7,7.8,3.5,8.6,-1111.1,-1,0,26.8,-1111.1,-1111.1,-1111.1,-1,0,15.2,-1111.1,-1111.1,4.3,3,2.6,5.6,2.5,6.7,1.9,3,1.3,3.3,0.8,3.7,26.5,4,21.4,31.1,19.9,34.5,18.7,3,15.8,23.4,14.7,23.5,125.6,3,129.2,226.2,114.9,136.2,-1111.1,-1,1.2,7,-1111.1,-1111.1,50.4,3,45.4,68.8,43.3,57.5,19.7,3,11.5,27.7,15.2,25.3,67.5,4,44.2,75.2,60,75,12.1,3,9.1,18.3,8.6,16.5,16.2,3,16,29.8,12.4,21,4221,3447,1999-2003
20,157,Republic,Kansas,KS,58,6.3,4,4,7.1,4.2,8.5,0.6,3,0.6,1.5,-2222.2,-2222.2,10.7,4,7.9,12,8,13.4,2.8,3,1.8,4.2,1.3,4.2,1.8,4,0.9,2.8,0.6,2.9,18.7,3,15.2,31.5,15.3,22.1,10.4,3,10.4,19.9,7.7,13,-1111.1,-1,1.6,9.7,-1111.1,-1111.1,-1111.1,-1,0,10.2,-1111.1,-1111.1,-1111.1,-1,0,0,-1111.1,-1111.1,-1111.1,-1,0,9,-1111.1,-1111.1,-1111.1,-1,0,8.4,-1111.1,-1111.1,-1111.1,-1,0,4.5,-1111.1,-1111.1,16.2,3,15,37.5,7.6,30.4,18.4,3,17.3,29.8,11.5,28.1,173.6,3,137.8,234.1,148.2,198.9,-1111.1,-1,0,4.7,-1111.1,-1111.1,38.4,3,31,61.3,26.4,54,25.7,3,17,41.4,14.1,42.9,74.6,4,39.6,74.7,60.4,91.1,-1111.1,-1,5.6,17.1,-1111.1,-1111.1,20.4,3,14.7,31.7,10.8,34.9,504,1039,1994-2003
20,159,Rice,Kansas,KS,40,7.4,4,4.7,7.6,5.9,8.8,0.6,3,0.6,1.4,0.2,1.1,10.6,4,8.5,12,8.8,12.3,4.5,4,2.2,5.3,3.4,5.7,2.1,4,1,2.5,1.3,2.9,28.2,4,19.2,36.1,25.7,30.8,18.7,4,11.3,23.9,16.5,20.9,5.4,3,4.7,8.8,2,11.7,6.1,3,3.8,8.4,2.2,13.3,-1111.1,-1,0,14.4,-1111.1,-1111.1,-1111.1,-1,0,23.3,-1111.1,-1111.1,4.5,4,1.9,5.7,1.5,10.4,0.9,3,1,4.1,0,5,20.7,3,16.8,32.5,12.2,32.9,18.2,3,17.7,28.6,12,26.6,148.4,3,138.8,233.8,128.9,167.9,-1111.1,-1,0,4.8,-1111.1,-1111.1,52.6,4,38,64.6,41.2,66,33.1,4,17.3,33.1,23.1,46,53.9,3,48.9,80.6,43.2,66.4,8.9,3,6.7,18.9,4.1,16.7,22.2,3,16.3,29.2,15,31.7,1232,1304,1994-2003
20,161,Riley,Kansas,KS,22,5.5,3,6,10.1,4.9,6.2,0.8,3,1,1.9,0.6,1.1,9.7,3,9.8,14.4,8.8,10.5,1.7,3,2.2,6.5,1.3,2,1.3,3,1,2.2,0.9,1.6,14.7,3,23.3,43.3,13.7,15.7,12.1,3,10,23.8,11.2,13.1,8.4,4,5.1,9.7,6,11.5,7,3,4.7,9.2,4.5,10.4,23,4,0,26,11.5,41.1,-1111.1,-1,0,30.3,-1111.1,-1111.1,5.2,4,3.1,6.9,3.3,7.7,3.2,4,1.4,4,1.8,5.3,21.3,3,18.2,29.6,13.4,32,15.6,3,15.6,25.1,10.7,22,125.4,3,125.4,224.7,110.2,140.6,-1111.1,-1,1.3,8,-1111.1,-1111.1,44.9,3,48.6,78.8,35.8,55.7,10.8,3,12.7,30.8,6.8,16.1,57.1,3,53,85.5,47,67.3,8.4,3,8.4,15.7,5,13.1,20.6,3,17.3,29,15,27.7,4648,1565,1999-2003
